text,likes,time,text_original,text_clean,sentiment,confidence,analysis
"Seandainya mentri keuangan sekarang srimulyani. 
Pajak naik
BBM naik
Rakyat di cekik",1,1 day ago,"Seandainya mentri keuangan sekarang srimulyani. 
Pajak naik
BBM naik
Rakyat di cekik",seandainya mentri keuangan sekarang srimulyani pajak naik bbm naik rakyat cekik,NEGATIVE,0.4875,Lainnya
Purbaya amran ini lah anak bangsa yang hebat  ❤,3,1 day ago,Purbaya amran ini lah anak bangsa yang hebat  ❤,purbaya amran anak bangsa hebat,POSITIVE,0.5149,Dukungan terhadap pemerintah
"Kompas kalo sinyal km jelek, kasih subtitel donkkkkk",1,1 day ago,"Kompas kalo sinyal km jelek, kasih subtitel donkkkkk",kompas sinyal km jelek kasih subtitel donkkkkk,NEUTRAL,0.2619,
"Ini kalo mentrinya yg lalu2, udah diambil tuh duit tawaran, perlu gak perlu yg pentiang ambil",0,1 day ago,"Ini kalo mentrinya yg lalu2, udah diambil tuh duit tawaran, perlu gak perlu yg pentiang ambil",mentrinya lalu2 diambil duit tawaran perlu perlu pentiang ambil,NEGATIVE,0.3525,Lainnya
sehat-sehat pak mentriii!,2,1 day ago,sehat-sehat pak mentriii!,sehat sehat pak mentriii,NEUTRAL,0.2942,
Dihentikan dan alihkan ke subsidi bbm untuk menjaga stabilitas ekonomi sambil jalankan program konversi ke listrik.,0,4 hours ago,Dihentikan dan alihkan ke subsidi bbm untuk menjaga stabilitas ekonomi sambil jalankan program konversi ke listrik.,dihentikan alihkan subsidi bbm menjaga stabilitas ekonomi sambil jalankan program konversi listrik,NEGATIVE,0.4512,Kekhawatiran ekonomi
"Seharusnya MBG dan KopDes Merah Putih itu sebaiknya ditiadakan saja, dengan begitu dananya bisa disalurkan untuk membangun ekonomi Indonesia",0,2 hours ago,"Seharusnya MBG dan KopDes Merah Putih itu sebaiknya ditiadakan saja, dengan begitu dananya bisa disalurkan untuk membangun ekonomi Indonesia",seharusnya mbg kopdes merah putih sebaiknya ditiadakan begitu dananya disalurkan membangun ekonomi indonesia,NEGATIVE,0.3446,Kekhawatiran ekonomi
Iya in aja dah😂😂😂😂,1,1 day ago,Iya in aja dah😂😂😂😂,iya in aja,POSITIVE,0.3053,Lainnya
Jangan mau di kibulin bank dunia lagi,1,1 day ago,Jangan mau di kibulin bank dunia lagi,jangan mau kibulin bank dunia sedang,NEGATIVE,0.3098,Skeptisisme terhadap pemerintah
Sehat selalu pak pur 😊,3,1 day ago,Sehat selalu pak pur 😊,sehat selalu pak pur,POSITIVE,0.6617,Lainnya
Andai mentri semua kaya p purbaya,10,1 day ago,Andai mentri semua kaya p purbaya,andai mentri kaya p purbaya,NEUTRAL,0.2558,
"Rakyat mengucapkan terimakasih atas kerjanya pak purbaya bisa mengatasi krisis,",1,1 day ago,"Rakyat mengucapkan terimakasih atas kerjanya pak purbaya bisa mengatasi krisis,",rakyat mengucapkan terimakasih atas kerjanya pak purbaya mengatasi krisis,POSITIVE,0.3245,Apresiasi individu
Mentri gue!,0,1 day ago,Mentri gue!,mentri,NEUTRAL,0.2897,
yang minta maaf siapa namanya pak? abunawas yah?,0,1 day ago,yang minta maaf siapa namanya pak? abunawas yah?,minta maaf siapa namanya pak abunawas,NEGATIVE,0.6139,Lainnya
"Tuh dengerin! hey ekonomi tiktok,DUNGU.",0,1 day ago,"Tuh dengerin! hey ekonomi tiktok,DUNGU.",dengerin hey ekonomi tiktok dungu,NEGATIVE,0.4446,Kekhawatiran ekonomi
Sudah ga percaya lagi sama pemerintahan negara Indonesia,1,1 day ago,Sudah ga percaya lagi sama pemerintahan negara Indonesia,percaya sedang pemerintahan negara indonesia,POSITIVE,0.2509,Optimisme ekonomi
Apa mau minjam kur ke bang aja bikin sulit banyak persyaratan,0,1 day ago,Apa mau minjam kur ke bang aja bikin sulit banyak persyaratan,apa mau minjam kur bang aja bikin sulit banyak persyaratan,NEGATIVE,0.3657,Lainnya
Yang ingin menghujat Dipersilahkan,1,1 day ago,Yang ingin menghujat Dipersilahkan,ingin menghujat dipersilahkan,POSITIVE,0.4364,Lainnya
Apa beda nya world bank ini dengan bank emok ?? Lintah darat,0,1 day ago,Apa beda nya world bank ini dengan bank emok ?? Lintah darat,apa beda world bank bank emok lintah darat,NEUTRAL,0.3009,
Sia2 menkeu hebat seperti purbaya ini. Uangnya dihambur hamburkan ke mbg. 😂😂😂,1,1 day ago,Sia2 menkeu hebat seperti purbaya ini. Uangnya dihambur hamburkan ke mbg. 😂😂😂,sia2 menkeu hebat purbaya uangnya dihambur hamburkan mbg,NEGATIVE,0.7074,Lainnya
Banyak buzzer 😂,1,1 day ago,Banyak buzzer 😂,banyak buzzer,NEGATIVE,0.243,Lainnya
Jadi gimana? Senin langsung naik lagi kah? 😂 Kang parkir CDIA gimana kabarnya? Masih -40%?,0,1 day ago,Jadi gimana? Senin langsung naik lagi kah? 😂 Kang parkir CDIA gimana kabarnya? Masih -40%?,gimana senin langsung naik sedang kang parkir cdia gimana kabarnya 40,NEGATIVE,0.3623,Lainnya
Kominfo kyk anjg untuk apa internet cepat,0,1 day ago,Kominfo kyk anjg untuk apa internet cepat,kominfo kyk anjg apa internet cepat,NEUTRAL,0.26,
Tetap hati2 pak Purbaya,3,1 day ago,Tetap hati2 pak Purbaya,tetap hati2 pak purbaya,POSITIVE,0.4323,Apresiasi individu
"Tanpa keperpihakan Prabowo 
Mungkin hasil ini akan berbeda",2,1 day ago,"Tanpa keperpihakan Prabowo 
Mungkin hasil ini akan berbeda",tanpa keperpihakan prabowo mungkin hasil berbeda,NEGATIVE,0.3149,Lainnya
"Percuma anda pak purbaya kerja cuma retorika aja, sama kek boss anda",1,1 day ago,"Percuma anda pak purbaya kerja cuma retorika aja, sama kek boss anda",percuma anda pak purbaya kerja cuma retorika aja kek boss anda,POSITIVE,0.2858,Apresiasi individu
1 orang Purbaya gak bakal mampu melawan gerombolan maling,0,1 day ago,1 orang Purbaya gak bakal mampu melawan gerombolan maling,1 orang purbaya bakal mampu melawan gerombolan maling,NEGATIVE,0.3854,Lainnya
Sehat selalu pak menkeu ❤,3,1 day ago,Sehat selalu pak menkeu ❤,sehat selalu pak menkeu,POSITIVE,0.6534,Lainnya
Tetapi rupiah dan market kenapa berbicara berbeda?? Biasanya market bergerak lebih awal,1,1 day ago,Tetapi rupiah dan market kenapa berbicara berbeda?? Biasanya market bergerak lebih awal,rupiah market kenapa berbicara berbeda biasanya market bergerak awal,NEUTRAL,0.3143,
"World bank dan imf udh siap aja ngasih ""pinjaman bantuan"" yg bakal mengikat dan menundukkan negara2 berkembang kayak pas krisis 98, enak aja. Organisasi2 amerika yg oportunis ketika negaranya lagi bikin masalah ekonomi dunia udh siap ngambil untung",2,1 day ago (edited),"World bank dan imf udh siap aja ngasih ""pinjaman bantuan"" yg bakal mengikat dan menundukkan negara2 berkembang kayak pas krisis 98, enak aja. Organisasi2 amerika yg oportunis ketika negaranya lagi bikin masalah ekonomi dunia udh siap ngambil untung",world bank imf siap aja ngasih pinjaman bantuan bakal mengikat menundukkan negara2 berkembang kayak pas krisis 98 enak aja organisasi2 amerika oportunis ketika negaranya sedang bikin masalah ekonomi dunia siap ngambil untung,NEGATIVE,0.4778,Skeptisisme terhadap pemerintah
"imf mah parasit 😂😂, jgn mau jadi budak george soros 😂",0,1 day ago,"imf mah parasit 😂😂, jgn mau jadi budak george soros 😂",imf mah parasit jgn mau budak george soros,NEGATIVE,0.7073,Kepercayaan pihak eksternal
pak purbya brjuang demi ekonomi rkyat.ketua mbg mlah ngabis abisin uang rkyat.,2,1 day ago,pak purbya brjuang demi ekonomi rkyat.ketua mbg mlah ngabis abisin uang rkyat.,pak purbya brjuang demi ekonomi rkyat ketua mbg mlah ngabis abisin uang rkyat,POSITIVE,0.2369,Lainnya
"Mantap pak Purbaya masih simpan uang banyak jadi tak usah hutang, agar tak jadi beban, jangan lupa istirahat stl pergi jauh sehat slalu n sukses n NKRI terkendali ekonomi aman.",2,1 day ago,"Mantap pak Purbaya masih simpan uang banyak jadi tak usah hutang, agar tak jadi beban, jangan lupa istirahat stl pergi jauh sehat slalu n sukses n NKRI terkendali ekonomi aman.",mantap pak purbaya simpan uang banyak tak usah hutang tak beban jangan lupa istirahat stl pergi jauh sehat slalu n sukses n nkri terkendali ekonomi aman,NEGATIVE,0.4921,Kekhawatiran ekonomi
"Kemarin para pengamat ekonomi Indonesia yg merilis lembaga internasional ternyata telah memanipulasi data, tp saya ya paham para ekonom yg meremehkan trend ekonomi Indonesia yaitu kelompok sebelah yg ingin pemerintahan ini jatuh",1,1 day ago,"Kemarin para pengamat ekonomi Indonesia yg merilis lembaga internasional ternyata telah memanipulasi data, tp saya ya paham para ekonom yg meremehkan trend ekonomi Indonesia yaitu kelompok sebelah yg ingin pemerintahan ini jatuh",kemarin para pengamat ekonomi indonesia merilis lembaga internasional ternyata telah memanipulasi data paham para ekonom meremehkan trend ekonomi indonesia yaitu kelompok sebelah ingin pemerintahan jatuh,NEGATIVE,0.5015,Kekhawatiran ekonomi
"masalah purbaya cuman 1
MBG yg dananya ga ba dgoyang
360 triliun pertahun kalau ba dgoyang ma purbaya pasti oke",0,1 day ago,"masalah purbaya cuman 1
MBG yg dananya ga ba dgoyang
360 triliun pertahun kalau ba dgoyang ma purbaya pasti oke",masalah purbaya cuman 1 mbg dananya ba dgoyang 360 triliun pertahun ba dgoyang ma purbaya pasti oke,NEGATIVE,0.4773,Skeptisisme terhadap pemerintah
Purbaya Hypercarry secara keseluruhan,1,1 day ago,Purbaya Hypercarry secara keseluruhan,purbaya hypercarry secara keseluruhan,POSITIVE,0.3333,Apresiasi individu
"Word bank itu tangam kanan AS. Jika berani melawan, siap2 dicekik AS. AS adalah investor utama IMF",1,1 day ago (edited),"Word bank itu tangam kanan AS. Jika berani melawan, siap2 dicekik AS. AS adalah investor utama IMF",word bank tangam kanan as berani melawan siap2 dicekik as as investor utama imf,NEGATIVE,0.5901,Kepercayaan pihak eksternal
"betul sekali Mereka itu IMF bukan bekerja untuk dunia atau negara, tapi bekerja untuk kelompok mereka",2,1 day ago,"betul sekali Mereka itu IMF bukan bekerja untuk dunia atau negara, tapi bekerja untuk kelompok mereka",betul sekali imf bukan bekerja dunia negara bekerja kelompok,NEGATIVE,0.5505,Kepercayaan pihak eksternal
Purbowo 😂,0,1 day ago,Purbowo 😂,purbowo,POSITIVE,0.2631,Lainnya
"Inti nya apa bapak menteri ??? Sdh mampu meredam gejolak ? Kalau fondasi nya bagus , itu rupiah knp jd memble ???😅😮😢😂🎉",0,1 day ago,"Inti nya apa bapak menteri ??? Sdh mampu meredam gejolak ? Kalau fondasi nya bagus , itu rupiah knp jd memble ???😅😮😢😂🎉",inti apa bapak menteri mampu meredam gejolak fondasi bagus rupiah knp jd memble,POSITIVE,0.4079,Dukungan terhadap pemerintah
Mngkn masih kebawa suasana lebaran di sana,1,1 day ago,Mngkn masih kebawa suasana lebaran di sana,mngkn kebawa suasana lebaran sana,POSITIVE,0.362,Lainnya
"PAK PURBAYA ORANG JUJUR, YG LAINNYA KORUPSI SEMUA.",0,1 day ago,"PAK PURBAYA ORANG JUJUR, YG LAINNYA KORUPSI SEMUA.",pak purbaya orang jujur lainnya korupsi,NEGATIVE,0.6927,Lainnya
Menteri yang action nya benar2 nyata dan berdampak. All the best Pak Purbaya. Salam perjuangan dari level grass root dan karyawan. Semoga lancar kembali investment ke Indonesia. Semoga imf mengubah ratingnya.,1,1 day ago,Menteri yang action nya benar2 nyata dan berdampak. All the best Pak Purbaya. Salam perjuangan dari level grass root dan karyawan. Semoga lancar kembali investment ke Indonesia. Semoga imf mengubah ratingnya.,menteri action benar2 nyata berdampak all the best pak purbaya salam perjuangan level grass root karyawan semoga lancar kembali investment indonesia semoga imf mengubah ratingnya,POSITIVE,0.3874,Apresiasi individu
Wajah Nya Kok Tegang ' Ada Apa Nih 😢,0,1 day ago,Wajah Nya Kok Tegang ' Ada Apa Nih 😢,wajah kok tegang apa,NEUTRAL,0.3231,
terbuktikan menkeu sri mulyani lebih hebat dlm mengatur ekonomi negara yg kata purbaya mudah malah rekor nilai kurs rupiah terpecahkan terus sejak 98 😂,0,1 day ago (edited),terbuktikan menkeu sri mulyani lebih hebat dlm mengatur ekonomi negara yg kata purbaya mudah malah rekor nilai kurs rupiah terpecahkan terus sejak 98 😂,terbuktikan menkeu sri mulyani hebat dlm mengatur ekonomi negara kata purbaya mudah malah rekor nilai kurs rupiah terpecahkan terus sejak 98,NEGATIVE,0.3498,Kekhawatiran ekonomi
Nambah hutang nambah masalah,0,1 day ago,Nambah hutang nambah masalah,nambah hutang nambah masalah,NEGATIVE,0.4054,Skeptisisme terhadap pemerintah
"IMF itu pengen ekonomi kita hancur,biar berhutang kemereka,dan negara jatuh dalam kendali mereka",29,1 day ago,"IMF itu pengen ekonomi kita hancur,biar berhutang kemereka,dan negara jatuh dalam kendali mereka",imf pengen ekonomi hancur supaya berhutang kemereka negara jatuh kendali,NEGATIVE,0.6395,Kekhawatiran ekonomi
Ini pemerintahan prabowo tpi aneh kalian ga ngakuin kerjanya prabowo lucu jdinya,0,3 hours ago,Ini pemerintahan prabowo tpi aneh kalian ga ngakuin kerjanya prabowo lucu jdinya,pemerintahan prabowo aneh kalian ngakuin kerjanya prabowo lucu jdinya,NEGATIVE,0.2659,Lainnya
"ya justru kebalikannya sih ini, kalau krisis terus berlanjut bisa bahaya. ingat ya, dana cadangan indonesia sudah dipakai, kalau krisis berlanjut maka pilihan yang ada tinggal utang besar-besaran atau langsung biarkan rakyat tanggung diri sendiri.",0,9 hours ago,"ya justru kebalikannya sih ini, kalau krisis terus berlanjut bisa bahaya. ingat ya, dana cadangan indonesia sudah dipakai, kalau krisis berlanjut maka pilihan yang ada tinggal utang besar-besaran atau langsung biarkan rakyat tanggung diri sendiri.",justru kebalikannya krisis terus berlanjut bahaya ingat dana cadangan indonesia dipakai krisis berlanjut pilihan tinggal utang besar besaran langsung biarkan rakyat tanggung diri sendiri,NEGATIVE,0.4876,Kekhawatiran ekonomi
​ @solorun79 Genk Chaplin 😁,0,8 hours ago,​ @solorun79 Genk Chaplin 😁,genk chaplin,POSITIVE,0.2981,Lainnya
Mereka sebenarnya balas dendam karena agen kesayangan mereka yaitu Sri Mulyani dicopot atau diganti.,0,6 minutes ago,Mereka sebenarnya balas dendam karena agen kesayangan mereka yaitu Sri Mulyani dicopot atau diganti.,sebenarnya balas dendam agen kesayangan yaitu sri mulyani dicopot diganti,NEGATIVE,0.6989,Lainnya
1 dollar US = 17 200,0,1 day ago,1 dollar US = 17 200,1 dollar us 17 200,NEGATIVE,0.5912,Kekhawatiran ekonomi
Bandar bandar besar lagi sibuk melihat negara mana yg biasa di bikin ceos.,0,1 day ago,Bandar bandar besar lagi sibuk melihat negara mana yg biasa di bikin ceos.,bandar bandar besar sedang sibuk melihat negara mana biasa bikin ceos,NEGATIVE,0.2476,Lainnya
Indonesia dikerjai terus masak dollar ngk turun2,0,1 day ago,Indonesia dikerjai terus masak dollar ngk turun2,indonesia dikerjai terus masak dollar ngk turun2,NEGATIVE,0.814,Kekhawatiran ekonomi
"Di internal pemerintah, Cm 1 orang ini yang gue Respect.",44,1 day ago,"Di internal pemerintah, Cm 1 orang ini yang gue Respect.",internal pemerintah cm 1 orang respect,NEGATIVE,0.2727,Lainnya
"Elos lah, rakyat yang penting harga bahan pangan saat ini bisa murah , saat ini bahan pangan sudah melonjak gula minyak goreng beras sabun sampo",0,1 day ago,"Elos lah, rakyat yang penting harga bahan pangan saat ini bisa murah , saat ini bahan pangan sudah melonjak gula minyak goreng beras sabun sampo",elos rakyat penting harga bahan pangan murah bahan pangan melonjak gula minyak goreng beras sabun sampo,NEGATIVE,0.3636,Kekhawatiran ekonomi
Mau hutang ke world bank?,0,1 day ago,Mau hutang ke world bank?,mau hutang world bank,NEGATIVE,0.7081,Kekhawatiran ekonomi
Sekelas menteri malah jd tukang dongeng😂😂😂😂,0,1 day ago,Sekelas menteri malah jd tukang dongeng😂😂😂😂,sekelas menteri malah jd tukang dongeng,NEGATIVE,0.3248,Lainnya
jebakan imf,0,1 day ago,jebakan imf,jebakan imf,NEGATIVE,0.392,Kepercayaan pihak eksternal
"sama kayak lu buktiin IHSG 10.000, ekonomi meroket dalam tiga bulan semenjak jadi menkeu, yang terjadi justru zoonk  malahan anggaran defisit PARAH, Indonesia kena sanksi MSCI Moodys dan Fitch",0,1 day ago,"sama kayak lu buktiin IHSG 10.000, ekonomi meroket dalam tiga bulan semenjak jadi menkeu, yang terjadi justru zoonk  malahan anggaran defisit PARAH, Indonesia kena sanksi MSCI Moodys dan Fitch",kayak kamu buktiin ihsg 10 000 ekonomi meroket tiga bulan semenjak menkeu terjadi justru zoonk malahan anggaran defisit parah indonesia kena sanksi msci moodys fitch,NEGATIVE,0.762,Kekhawatiran ekonomi
"S andainy smua mntri standartny sprti pak purbaya,,,bisa di byngkn sprti apa kmjuan negara tercinta ini😢",3,1 day ago,"S andainy smua mntri standartny sprti pak purbaya,,,bisa di byngkn sprti apa kmjuan negara tercinta ini😢",s andainy smua mntri standartny sprti pak purbaya byngkn sprti apa kmjuan negara tercinta,POSITIVE,0.2557,Apresiasi individu
"Lebih baik jangan terlalu percaya dan andalkan kepada barat  , karena perusahan investasi barat itu semua milik swasta dan umum sehingga CEO nya digaji untuk mengelola dan bertanggung jawab kepada dewan komisaris perusahaan  , dan semua investor itu landasan nya kapitalis yang hanya mengejar untung  , dan modal mereka itu bukan puluhan triyun dollar tetapi ribuan triyun dollar , dan selalu mengintip celah untuk menjatuhkan ekonomi moneter suatu negara yang punya utang besar kepada nya lantas memaksa negara tersebut menjual murah aset negara nya kepada imvestor asing  , dan memaksa pangkas anggaran negara  , ini sudah pernah terjadi di asia pada tahun 1998",1,1 day ago,"Lebih baik jangan terlalu percaya dan andalkan kepada barat  , karena perusahan investasi barat itu semua milik swasta dan umum sehingga CEO nya digaji untuk mengelola dan bertanggung jawab kepada dewan komisaris perusahaan  , dan semua investor itu landasan nya kapitalis yang hanya mengejar untung  , dan modal mereka itu bukan puluhan triyun dollar tetapi ribuan triyun dollar , dan selalu mengintip celah untuk menjatuhkan ekonomi moneter suatu negara yang punya utang besar kepada nya lantas memaksa negara tersebut menjual murah aset negara nya kepada imvestor asing  , dan memaksa pangkas anggaran negara  , ini sudah pernah terjadi di asia pada tahun 1998",baik jangan terlalu percaya andalkan kepada barat perusahan investasi barat milik swasta umum sehingga ceo digaji mengelola bertanggung jawab kepada dewan komisaris perusahaan investor landasan kapitalis hanya mengejar untung modal bukan puluhan triyun dollar ribuan triyun dollar selalu mengintip celah menjatuhkan ekonomi moneter suatu negara punya utang besar kepada lantas memaksa negara tersebut menjual murah aset negara kepada imvestor asing memaksa pangkas anggaran negara pernah terjadi asia tahun 1998,NEGATIVE,0.379,Kekhawatiran ekonomi
Mantap pak Purbaya,3,1 day ago,Mantap pak Purbaya,mantap pak purbaya,NEUTRAL,0.2742,
Mantap Pak Pur 🎉,0,1 day ago,Mantap Pak Pur 🎉,mantap pak pur,NEUTRAL,0.289,
"Mntri kbnggaanku,,,, ❤🎉🎉🎉 smg dipnjgkn umur, kshtn dan kbrkhnny y pak",8,1 day ago,"Mntri kbnggaanku,,,, ❤🎉🎉🎉 smg dipnjgkn umur, kshtn dan kbrkhnny y pak",mntri kbnggaanku smg dipnjgkn umur kshtn kbrkhnny y pak,NEGATIVE,0.308,Lainnya
ini pak pur cari hutangan atau investor ya ?,0,1 day ago,ini pak pur cari hutangan atau investor ya ?,pak pur cari hutangan investor,POSITIVE,0.2256,Lainnya
"Andaikan Sri Mulyani yg menjabat, sudah pasti ngambil hutang",1,1 day ago,"Andaikan Sri Mulyani yg menjabat, sudah pasti ngambil hutang",andaikan sri mulyani menjabat pasti ngambil hutang,NEUTRAL,0.2587,
Ekonomi kita sebenarnya kuat kalau tanpa MBG 😂,0,1 day ago,Ekonomi kita sebenarnya kuat kalau tanpa MBG 😂,ekonomi sebenarnya kuat tanpa mbg,NEUTRAL,0.3061,
Sehat selalu p.purbaya mantap polll,2,1 day ago,Sehat selalu p.purbaya mantap polll,sehat selalu p purbaya mantap polll,POSITIVE,0.6613,Dukungan terhadap pemerintah
Purbaya agen rakyat bukan agen IMF dan WB,14,1 day ago,Purbaya agen rakyat bukan agen IMF dan WB,purbaya agen rakyat bukan agen imf wb,NEGATIVE,0.398,Kepercayaan pihak eksternal
PUTUSKAN HUBUNGAN DENGAN WORLD BANK KARENA MEREKA TELAH LAMA MENJAJAH EKONOMI INDONESIA SEJAK LAMA DARI JAMAN SOEHARTO HINGGA SEKARANG,0,1 day ago,PUTUSKAN HUBUNGAN DENGAN WORLD BANK KARENA MEREKA TELAH LAMA MENJAJAH EKONOMI INDONESIA SEJAK LAMA DARI JAMAN SOEHARTO HINGGA SEKARANG,putuskan hubungan world bank telah lama menjajah ekonomi indonesia sejak lama jaman soeharto hingga sekarang,POSITIVE,0.3357,Lainnya
Amran? Dia sukses loh,5,1 day ago,Amran? Dia sukses loh,amran dia sukses loh,POSITIVE,0.4565,Lainnya
"​ @JonKomen iya dia juga bagus, rekrutan non partai jg",3,1 day ago,"​ @JonKomen iya dia juga bagus, rekrutan non partai jg",iya dia bagus rekrutan non partai,NEGATIVE,0.5459,Lainnya
" @JonKomen  bener bro, tapi masih dominan orang2 non kompeten",0,1 day ago," @JonKomen  bener bro, tapi masih dominan orang2 non kompeten",bener bro dominan orang2 non kompeten,NEGATIVE,0.3477,Lainnya
Dadan lah yg paling keren yg lain budak budak,1,1 day ago,Dadan lah yg paling keren yg lain budak budak,dadan paling keren lain budak budak,NEGATIVE,0.3306,Lainnya
Masa loe nggk respek sama Bahlil kali ini bg? 😂😂😂,1,15 hours ago,Masa loe nggk respek sama Bahlil kali ini bg? 😂😂😂,masa loe nggk respek bahlil kali bg,NEUTRAL,0.2627,
"sama, saya juga respect, soalnya BGN selalu di akomodir pos anggarannya yang bahlul:face-blue-smiling::face-blue-smiling::face-blue-smiling:",0,1 day ago,"sama, saya juga respect, soalnya BGN selalu di akomodir pos anggarannya yang bahlul:face-blue-smiling::face-blue-smiling::face-blue-smiling:",respect soalnya bgn selalu akomodir pos anggarannya bahlul face blue smiling face blue smiling face blue smiling,POSITIVE,0.316,Lainnya
"Amran, bahlil, airlangga gimana oom😊",0,1 day ago,"Amran, bahlil, airlangga gimana oom😊",amran bahlil airlangga gimana oom,NEGATIVE,0.235,Lainnya
Bahlil?,0,6 hours ago,Bahlil?,bahlil,NEGATIVE,0.2962,Lainnya
Indonesia semangat orang bebas.suka singkong enak 🤙😀👍🏻👍🏻🍠☕,1,1 day ago,Indonesia semangat orang bebas.suka singkong enak 🤙😀👍🏻👍🏻🍠☕,indonesia semangat orang bebas suka singkong enak,POSITIVE,0.4223,Optimisme ekonomi
"Benar pak Purbaya prediksi Jossoros emang selalu menyudutkan ekonomi kita. 
Itulah knapa investor pada panik dan sempat drop saham dan rupiah jadi melemah.",2,1 day ago,"Benar pak Purbaya prediksi Jossoros emang selalu menyudutkan ekonomi kita. 
Itulah knapa investor pada panik dan sempat drop saham dan rupiah jadi melemah.",benar pak purbaya prediksi jossoros memang selalu menyudutkan ekonomi itulah knapa investor panik sempat drop saham rupiah melemah,NEGATIVE,0.3891,Kekhawatiran ekonomi
Abis ini pasti direkrut IMF,0,1 day ago,Abis ini pasti direkrut IMF,abis pasti direkrut imf,NEGATIVE,0.4881,Kepercayaan pihak eksternal
Kawal dgn the power of netizens,1,1 day ago,Kawal dgn the power of netizens,kawal the power of netizens,POSITIVE,0.4129,Lainnya
IMF itu ibarat bang harian alias bang titil😂😂,0,1 day ago,IMF itu ibarat bang harian alias bang titil😂😂,imf ibarat bang harian alias bang titil,NEGATIVE,0.3693,Kepercayaan pihak eksternal
Mudah2an pengurus negara dan dpr gak berkhianat lagi,1,1 day ago,Mudah2an pengurus negara dan dpr gak berkhianat lagi,mudah2an pengurus negara dpr berkhianat sedang,POSITIVE,0.248,Lainnya
IMF penjajah ekonomie dunia.,0,1 day ago,IMF penjajah ekonomie dunia.,imf penjajah ekonomie dunia,NEGATIVE,0.3675,Kekhawatiran ekonomi
sehat terus ya Pak Menkeu 🎉,0,1 day ago,sehat terus ya Pak Menkeu 🎉,sehat terus pak menkeu,POSITIVE,0.4153,Lainnya
"Inilah bukti kepemimpinan yang visioner dan berwibawa. Di saat negara lain mungkin sedang mengemis bantuan, Indonesia justru pamer kekuatan pondasi ekonomi. Kita harus bersatu mendukung strategi pemerintah dalam menjaga kedaulatan fiskal. Jangan mudah terpengaruh narasi pesimis, faktanya lembaga internasional pun akhirnya mengakui kehebatan kita.",0,1 day ago,"Inilah bukti kepemimpinan yang visioner dan berwibawa. Di saat negara lain mungkin sedang mengemis bantuan, Indonesia justru pamer kekuatan pondasi ekonomi. Kita harus bersatu mendukung strategi pemerintah dalam menjaga kedaulatan fiskal. Jangan mudah terpengaruh narasi pesimis, faktanya lembaga internasional pun akhirnya mengakui kehebatan kita.",inilah bukti kepemimpinan visioner berwibawa negara lain mungkin sedang mengemis bantuan indonesia justru pamer kekuatan pondasi ekonomi bersatu mendukung strategi pemerintah menjaga kedaulatan fiskal jangan mudah terpengaruh narasi pesimis faktanya lembaga internasional akhirnya mengakui kehebatan,NEGATIVE,0.2546,Kekhawatiran ekonomi
"Alhamdulillah, senang dengar kabar kalau uang negara kita aman dan cukup buat jaga-jaga kalau dunia lagi kacau. Terima kasih Pak Purbaya sudah berjuang di Amerika buat jelasin kondisi kita yang sebenarnya. Yang penting buat kami rakyat kecil adalah harga bensin dan kebutuhan pokok tetap stabil. Semoga ekonomi Indonesia makin kuat dan pemimpin kita selalu amanah. Semangat membangun negeri!",0,1 day ago,"Alhamdulillah, senang dengar kabar kalau uang negara kita aman dan cukup buat jaga-jaga kalau dunia lagi kacau. Terima kasih Pak Purbaya sudah berjuang di Amerika buat jelasin kondisi kita yang sebenarnya. Yang penting buat kami rakyat kecil adalah harga bensin dan kebutuhan pokok tetap stabil. Semoga ekonomi Indonesia makin kuat dan pemimpin kita selalu amanah. Semangat membangun negeri!",alhamdulillah senang dengar kabar uang negara aman cukup buat jaga jaga dunia sedang kacau terima kasih pak purbaya berjuang amerika buat jelasin kondisi sebenarnya penting buat rakyat kecil harga bensin kebutuhan pokok tetap stabil semoga ekonomi indonesia makin kuat pemimpin selalu amanah semangat membangun negeri,POSITIVE,0.5351,Optimisme ekonomi
"Bangga melihat Menteri Keuangan kita berani bicara tegas di panggung internasional. Kita tidak perlu bergantung pada dana talangan asing karena kita punya cadangan sendiri yang kuat. Keberhasilan menjaga defisit di bawah 3% sambil tetap meredam gejolak harga domestik menunjukkan pemerintah benar-benar bekerja untuk rakyat. Indonesia bukan lagi penonton, tapi pemain yang diperhitungkan dunia!",0,1 day ago,"Bangga melihat Menteri Keuangan kita berani bicara tegas di panggung internasional. Kita tidak perlu bergantung pada dana talangan asing karena kita punya cadangan sendiri yang kuat. Keberhasilan menjaga defisit di bawah 3% sambil tetap meredam gejolak harga domestik menunjukkan pemerintah benar-benar bekerja untuk rakyat. Indonesia bukan lagi penonton, tapi pemain yang diperhitungkan dunia!",bangga melihat menteri keuangan berani bicara tegas panggung internasional perlu bergantung dana talangan asing punya cadangan sendiri kuat keberhasilan menjaga defisit bawah 3 sambil tetap meredam gejolak harga domestik menunjukkan pemerintah benar benar bekerja rakyat indonesia bukan sedang penonton pemain diperhitungkan dunia,NEGATIVE,0.3642,Kekhawatiran ekonomi
